DOID	Metab
DOID:10211	HMDB0000067
DOID:9256	HMDB0000067
DOID:5419	HMDB0000067
DOID:10534	HMDB0000067
DOID:14118	HMDB0000067
DOID:2377	HMDB0000067
DOID:1056	HMDB0000067
DOID:10283	HMDB0000067
DOID:14692	HMDB0000067
DOID:0060879	HMDB0000067
DOID:0080217	HMDB0000067
DOID:1064	HMDB0000067
DOID:0050462	HMDB0000067
DOID:0080352	HMDB0000067
DOID:0050470	HMDB0000067
DOID:11723	HMDB0000067
DOID:0050440	HMDB0000067
DOID:13810	HMDB0000067
DOID:1391	HMDB0000067
DOID:0111135	HMDB0000067
DOID:13774	HMDB0000068
DOID:0060228	HMDB0000068
DOID:0050771	HMDB0000068
DOID:5419	HMDB0000068
DOID:10582	HMDB0000070
DOID:2580	HMDB0000070
DOID:10582	HMDB0000070
DOID:0090031	HMDB0000070
DOID:0050797	HMDB0000070
DOID:12365	HMDB0000070
DOID:9274	HMDB0000070
DOID:9256	HMDB0000070
DOID:1793	HMDB0000070
DOID:3388	HMDB0000070
DOID:0080476	HMDB0000070
DOID:10588	HMDB0000070
DOID:5419	HMDB0000070
DOID:9256	HMDB0000071
DOID:13922	HMDB0000071
DOID:10652	HMDB0000072
DOID:9255	HMDB0000072
DOID:1324	HMDB0000072
DOID:13922	HMDB0000072
DOID:5419	HMDB0000072
DOID:0090145	HMDB0000073
DOID:10652	HMDB0000073
DOID:12306	HMDB0000073
DOID:0090123	HMDB0000073
DOID:13922	HMDB0000073
DOID:5419	HMDB0000073
DOID:9256	HMDB0000076
DOID:14218	HMDB0000076
DOID:10763	HMDB0000076
DOID:0050811	HMDB0000077
DOID:0050811	HMDB0000077
DOID:0050462	HMDB0000077
DOID:0050546	HMDB0000077
DOID:0050811	HMDB0000077
DOID:7148	HMDB0000077
DOID:9281	HMDB0000078
DOID:13922	HMDB0000079
DOID:9256	HMDB0000085
DOID:10652	HMDB0000086
DOID:1793	HMDB0000086
DOID:3388	HMDB0000086
DOID:9352	HMDB0000087
DOID:9744	HMDB0000087
DOID:13922	HMDB0000087
DOID:11723	HMDB0000087
DOID:3613	HMDB0000089
DOID:9256	HMDB0000089
DOID:8778	HMDB0000089
DOID:10652	HMDB0000089
DOID:9255	HMDB0000089
DOID:9256	HMDB0000092
DOID:8778	HMDB0000092
DOID:13922	HMDB0000092
DOID:1793	HMDB0000094
DOID:5419	HMDB0000094
DOID:3613	HMDB0000094
DOID:8778	HMDB0000094
DOID:10652	HMDB0000094
DOID:9255	HMDB0000094
DOID:1324	HMDB0000094
DOID:9744	HMDB0000094
DOID:14755	HMDB0000094
DOID:14701	HMDB0000094
DOID:0050726	HMDB0000094
DOID:9281	HMDB0000094
DOID:9269	HMDB0000094
DOID:13922	HMDB0000094
DOID:9256	HMDB0000094
DOID:0060879	HMDB0000094
DOID:9256	HMDB0000095
DOID:10652	HMDB0000095
DOID:9255	HMDB0000095
DOID:0080016	HMDB0000097
DOID:10652	HMDB0000097
DOID:8778	HMDB0000097
DOID:7148	HMDB0000097
DOID:9256	HMDB0000097
DOID:1793	HMDB0000097
DOID:3388	HMDB0000097
DOID:9255	HMDB0000097
DOID:1324	HMDB0000097
DOID:13922	HMDB0000097
DOID:8778	HMDB0000098
DOID:9256	HMDB0000098
DOID:1324	HMDB0000098
DOID:13922	HMDB0000098
DOID:10652	HMDB0000099
DOID:12849	HMDB0000099
DOID:0050544	HMDB0000099
DOID:8778	HMDB0000099
DOID:0090142	HMDB0000099
DOID:13922	HMDB0000099
DOID:5810	HMDB0000101
DOID:0050762	HMDB0000101
DOID:9256	HMDB0000101
